Datetime,Water Level (m)
2023-10-10 12:00:00,0.068694375
2023-10-10 13:00:00,0.07761359
2023-10-10 14:00:00,0.08296609
2023-10-10 15:00:00,0.085036136
2023-10-10 16:00:00,0.08461693
2023-10-10 17:00:00,0.083524406
2023-10-10 18:00:00,0.08451511
2023-10-10 19:00:00,0.09074145
2023-10-10 20:00:00,0.0988615
2023-10-10 21:00:00,0.11256106
2023-10-10 22:00:00,0.12287458
2023-10-10 23:00:00,0.1344606
2023-10-11 00:00:00,0.14529732
2023-10-11 01:00:00,0.15137905
2023-10-11 02:00:00,0.15385817
2023-10-11 03:00:00,0.15600033
2023-10-11 04:00:00,0.15650189
2023-10-11 05:00:00,0.15723439
2023-10-11 06:00:00,0.16064015
2023-10-11 07:00:00,0.16894042
2023-10-11 08:00:00,0.18135521
2023-10-11 09:00:00,0.19777197
2023-10-11 10:00:00,0.20943049
2023-10-11 11:00:00,0.22506069
2023-10-11 12:00:00,0.23935923
2023-10-11 13:00:00,0.25160852
2023-10-11 14:00:00,0.25984034
2023-10-11 15:00:00,0.26427212
2023-10-11 16:00:00,0.2664513
2023-10-11 17:00:00,0.26696837
2023-10-11 18:00:00,0.2684435
2023-10-11 19:00:00,0.27305883
2023-10-11 20:00:00,0.28260988
2023-10-11 21:00:00,0.2984058
2023-10-11 22:00:00,0.31723902
2023-10-11 23:00:00,0.33645675
2023-10-12 00:00:00,0.35442558
2023-10-12 01:00:00,0.36910903
2023-10-12 02:00:00,0.38033858
2023-10-12 03:00:00,0.38850263
2023-10-12 04:00:00,0.3947274
2023-10-12 05:00:00,0.39983854
2023-10-12 06:00:00,0.4053118
2023-10-12 07:00:00,0.41364446
2023-10-12 08:00:00,0.42689112
2023-10-12 09:00:00,0.44469318
2023-10-12 10:00:00,0.46522725
2023-10-12 11:00:00,0.48674846
2023-10-12 12:00:00,0.5066428
2023-10-12 13:00:00,0.5234459
2023-10-12 14:00:00,0.5365894
2023-10-12 15:00:00,0.547351
2023-10-12 16:00:00,0.556334
2023-10-12 17:00:00,0.5630211
2023-10-12 18:00:00,0.56848514
2023-10-12 19:00:00,0.5751068
2023-10-12 20:00:00,0.5858823
2023-10-12 21:00:00,0.60220814
2023-10-12 22:00:00,0.6225225
2023-10-12 23:00:00,0.64499927
2023-10-13 00:00:00,0.6667192
2023-10-13 01:00:00,0.68551826
2023-10-13 02:00:00,0.70070916
2023-10-13 03:00:00,0.7132484
2023-10-13 04:00:00,0.7236466
2023-10-13 05:00:00,0.7322386
2023-10-13 06:00:00,0.7396207
2023-10-13 07:00:00,0.7474264
2023-10-13 08:00:00,0.7583486
2023-10-13 09:00:00,0.77440417
2023-10-13 10:00:00,0.79432493
2023-10-13 11:00:00,0.8163321
2023-10-13 12:00:00,0.83647996
2023-10-13 13:00:00,0.8545116
2023-10-13 14:00:00,0.86878407
2023-10-13 15:00:00,0.88039285
2023-10-13 16:00:00,0.88931245
2023-10-13 17:00:00,0.8960808
2023-10-13 18:00:00,0.901487
2023-10-13 19:00:00,0.90634096
2023-10-13 20:00:00,0.91321635
2023-10-13 21:00:00,0.9245721
2023-10-13 22:00:00,0.9406283
2023-10-13 23:00:00,0.9599919
2023-10-14 00:00:00,0.97933084
2023-10-14 01:00:00,0.9968133
2023-10-14 02:00:00,1.0109392
2023-10-14 03:00:00,1.0218896
2023-10-14 04:00:00,1.0303324
2023-10-14 05:00:00,1.0365199
2023-10-14 06:00:00,1.0409281
2023-10-14 07:00:00,1.0443859
2023-10-14 08:00:00,1.0490359
2023-10-14 09:00:00,1.0575215
2023-10-14 10:00:00,1.0705558
2023-10-14 11:00:00,1.0866712
2023-10-14 12:00:00,1.1034653
2023-10-14 13:00:00,1.1184736
2023-10-14 14:00:00,1.1305555
2023-10-14 15:00:00,1.139916
2023-10-14 16:00:00,1.1467106
2023-10-14 17:00:00,1.1513042
2023-10-14 18:00:00,1.1540154
2023-10-14 19:00:00,1.155657
2023-10-14 20:00:00,1.1578728
2023-10-14 21:00:00,1.1635127
2023-10-14 22:00:00,1.1742189
2023-10-14 23:00:00,1.1891652
2023-10-15 00:00:00,1.2059301
2023-10-15 01:00:00,1.2204814
2023-10-15 02:00:00,1.2332319
2023-10-15 03:00:00,1.2428101
2023-10-15 04:00:00,1.2496388
2023-10-15 05:00:00,1.2541373
2023-10-15 06:00:00,1.2567443
2023-10-15 07:00:00,1.2581202
2023-10-15 08:00:00,1.2593733
2023-10-15 09:00:00,1.2629328
2023-10-15 10:00:00,1.271107
2023-10-15 11:00:00,1.2831502
2023-10-15 12:00:00,1.2966785
2023-10-15 13:00:00,1.3090281
2023-10-15 14:00:00,1.3186163
2023-10-15 15:00:00,1.3262262
2023-10-15 16:00:00,1.3312199
2023-10-15 17:00:00,1.334085
2023-10-15 18:00:00,1.3352058
2023-10-15 19:00:00,1.3347825
2023-10-15 20:00:00,1.3337969
2023-10-15 21:00:00,1.3346838
2023-10-15 22:00:00,1.3403807
2023-10-15 23:00:00,1.3500358
2023-10-16 00:00:00,1.3626772
2023-10-16 01:00:00,1.3751346
2023-10-16 02:00:00,1.3855071
2023-10-16 03:00:00,1.3933907
2023-10-16 04:00:00,1.398866
2023-10-16 05:00:00,1.4021742
2023-10-16 06:00:00,1.4035492
2023-10-16 07:00:00,1.4033673
2023-10-16 08:00:00,1.4022825
2023-10-16 09:00:00,1.4015708
2023-10-16 10:00:00,1.404785
2023-10-16 11:00:00,1.4120259
2023-10-16 12:00:00,1.4217069
